trials.thisN,num_distr,mouse.time,mouse.clicked_name,,,,,
125,10,0.859027402,['target'],,,,,
126,10,2.970958842,['target'],,,,,
127,10,1.00098529,['target'],,,,,
130,10,1.058339862,['target'],,,,,
131,10,1.146059958,['target'],,,,,
132,10,1.162631583,['target'],,,,,
134,10,1.727358059,['target'],,,,,
136,10,1.321547481,['target'],,,,,
137,10,1.374312515,['target'],,,,,
139,10,1.566010995,['target'],,,,,
140,10,1.050570629,['target'],,,,,
143,10,1.134464803,['target'],,,,,
147,10,1.058115133,['target'],,,,,
149,10,1.426942648,['target'],,,,,
151,10,1.324909994,['target'],,,,,
155,10,1.218768807,['target'],,,,,
156,10,1.153033006,['target'],,,,,
157,10,1.117217148,['target'],,,,,
158,10,1.249680296,['target'],,,,,
159,10,1.531592702,['target'],,,,,
162,10,1.336393638,['target'],,,,,
163,10,1.01221418,['target'],,,,,
168,10,1.366068599,['target'],,,,,
169,10,1.74884321,['target'],,,,,
172,10,1.149610889,['target'],,,,,
174,10,1.260112061,['target'],,,,,
175,10,1.061848209,['target'],,,,,
176,10,1.143759533,['target'],,,,,
177,10,2.021661272,['target'],,,,,
178,10,1.214488606,['target'],,,,,
179,10,2.272108483,['target'],,,,,
180,10,0.980580037,['target'],,,,,
181,10,1.158900852,['target'],,,,,
182,10,1.288947609,['target'],,,,,
185,10,1.038365665,['target'],,,,,
188,10,1.06031528,['target'],,,,,
191,10,1.35892189,['target'],,,,,
192,10,0.905928812,['target'],,,,,
193,10,1.326825465,['target'],,,,,
194,10,1.11684871,['target'],,,,,
196,10,1.546506045,['target'],,,,,
197,10,1.39928362,['target'],,,,,
198,10,1.605282477,['target'],,,,,
0,10,1.434299684,['target'],,,,,
1,10,1.288731074,['target'],,,,,
3,10,1.203953901,['target'],,,,,
6,10,1.17266629,['target'],,,,,
8,10,0.98119995,['target'],,,,,
10,10,1.023106745,['target'],,,,,
13,10,0.76557604,['target'],,,,,
15,10,1.242558232,['target'],,,,,
16,10,1.040003964,['target'],,,,,
18,10,1.133367934,['target'],,,,,
21,10,0.968540129,['target'],,,,,
22,10,1.649010952,['target'],,,,,
23,10,2.824920023,['target'],,,,,
29,10,1.250603958,['target'],,,,,
30,10,1.661253189,['target'],,,,,
32,10,0.976820655,['target'],,,,,
33,10,1.445980441,['target'],,,,,
37,10,0.948098373,['target'],,,,,
41,10,1.193317286,['target'],,,,,
43,10,1.166331486,['target'],,,,,
44,10,1.1300123,['target'],,,,,
47,10,1.036889395,['target'],,,,,
49,10,1.329496462,['target'],,,,,
50,10,5.113167687,['target'],,,,,
51,10,2.146117646,['target'],,,,,
52,10,1.704607309,['target'],,,,,
53,10,1.100458791,['target'],,,,,
54,10,1.152547668,['target'],,,,,
55,10,1.270586509,['target'],,,,,
58,10,1.346888813,['target'],,,,,
61,10,1.167071502,['target'],,,,,
63,10,0.968567172,['target'],,,,,
64,10,0.994725902,['target'],,,,,
65,10,1.509534231,['target'],,,,,
69,10,1.25997612,['target'],,,,,
72,10,0.830703968,['target'],,,,,
73,10,1.241437675,['target'],,,,,
80,10,1.018793776,['target'],,,,,
81,10,1.217259875,['target'],,,,,
83,10,1.592723726,['target'],,,,,
84,10,1.508089352,['target'],,,,,
85,10,2.021557516,['target'],,,,,
87,10,1.446127713,['target'],,,,,
88,10,1.219659757,['target'],,,,,
90,10,1.255835803,['target'],,,,,
93,10,1.019085147,['target'],,,,,
94,10,1.439481127,['target'],,,,,
95,10,1.542719401,['target'],,,,,
97,10,1.186953017,['target'],,,,,
99,10,1.291576216,['target'],,,,,
103,10,0.932903833,['target'],,,,,
106,10,1.25252727,['target'],,,,,
107,10,0.938847758,['target'],,,,,
108,10,1.012124834,['target'],,,,,
109,10,0.883970934,['target'],,,,,
110,10,1.247094321,['target'],,,,,
111,10,1.019965703,['target'],,,,,
113,10,1.229664559,['target'],,,,,
114,10,2.436575206,['target'],,,,,
